max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.098,-0.078,0.02,0.176,0.121,-0.074,0.047,0.195,0.121,-0.113,0.008,0.234,0.136,-0.083,0.053,0.219,0.154,-0.106,0.048,0.26,0.088,-0.139,-0.051,0.227
0.077,-0.083,-0.006,0.16,0.108,-0.104,0.004,0.212,0.056,-0.111,-0.055,0.167,0.082,-0.086,-0.004,0.168,0.0,-0.004,-0.004,0.004,0.003,-0.003,0.0,0.006
0.104,-0.06,0.044,0.164,0.098,-0.07,0.028,0.168,0.118,-0.074,0.044,0.192,0.105,-0.082,0.023,0.187,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.059,-0.06,-0.001,0.119,0.075,-0.069,0.006,0.144,0.064,-0.051,0.013,0.115,0.128,-0.07,0.058,0.198,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.076,-0.076,0.0,0.152,0.092,-0.112,-0.02,0.204,0.024,-0.115,-0.091,0.139,0.093,-0.074,0.019,0.167,0.004,-0.002,0.002,0.006,0.001,-0.004,-0.003,0.005
0.128,-0.038,0.09,0.166,0.088,-0.064,0.024,0.152,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.102,-0.043,0.059,0.145,0.102,-0.108,-0.006,0.21
0.14,-0.076,0.064,0.216,0.118,-0.106,0.012,0.224,0.082,-0.108,-0.026,0.19,0.058,-0.057,0.001,0.115,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.141,-0.09,0.051,0.231,0.066,-0.085,-0.019,0.151,0.058,-0.137,-0.079,0.195,0.116,-0.096,0.02,0.212,0.004,-0.002,0.002,0.006,0.002,-0.003,-0.001,0.005
0.1,-0.052,0.048,0.152,0.134,-0.062,0.072,0.196,0.16,-0.07,0.09,0.23,0.093,-0.072,0.021,0.165,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
0.082,-0.097,-0.015,0.179,0.071,-0.152,-0.081,0.223,0.048,-0.129,-0.081,0.177,0.074,-0.102,-0.028,0.176,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.074,-0.085,-0.011,0.159,0.12,-0.094,0.026,0.214,0.089,-0.084,0.005,0.173,0.09,-0.099,-0.009,0.189,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.105,-0.139,-0.034,0.244,0.056,-0.096,-0.04,0.152,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.053,-0.072,-0.019,0.125,0.066,-0.07,-0.004,0.136
0.136,-0.046,0.09,0.182,0.084,-0.096,-0.012,0.18,0.146,-0.09,0.056,0.236,0.124,-0.099,0.025,0.223,0.2,-0.066,0.134,0.266,0.136,-0.086,0.05,0.222
