max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.081,-1.062,0.019,2.143,1.364,-1.391,-0.027,2.755,1.192,-1.181,0.011,2.373,1.01,-1.008,0.002,2.018,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.002,-0.001,0.001,0.003,0.002,-0.003,-0.001,0.005,0.748,-0.658,0.09,1.406,0.848,-0.726,0.122,1.574,1.063,-1.111,-0.048,2.174,1.365,-1.396,-0.031,2.761
1.089,-1.004,0.085,2.093,1.353,-1.28,0.073,2.633,1.188,-1.196,-0.008,2.384,0.988,-0.906,0.082,1.894,0.003,-0.002,0.001,0.005,0.001,-0.004,-0.003,0.005
1.081,-1.134,-0.053,2.215,1.336,-1.401,-0.065,2.737,1.168,-1.296,-0.128,2.464,0.935,-1.069,-0.134,2.004,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
1.046,-1.124,-0.078,2.17,1.342,-1.298,0.044,2.64,1.182,-1.185,-0.003,2.367,0.968,-0.96,0.008,1.928,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
1.256,-1.216,0.04,2.472,1.032,-1.038,-0.006,2.07,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005,0.828,-0.786,0.042,1.614,0.9,-0.837,0.063,1.737
1.204,-1.138,0.066,2.342,1.034,-0.948,0.086,1.982,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005,0.836,-0.732,0.104,1.568,0.84,-0.832,0.008,1.672
1.062,-1.12,-0.058,2.182,1.367,-1.419,-0.052,2.786,1.131,-1.252,-0.121,2.383,1.018,-1.034,-0.016,2.052,-0.001,-0.004,-0.005,0.003,0.003,-0.004,-0.001,0.007
1.242,-1.228,0.014,2.47,0.996,-0.982,0.014,1.978,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,0.797,-0.766,0.031,1.563,0.776,-0.76,0.016,1.536
1.17,-1.129,0.041,2.299,1.403,-1.402,0.001,2.805,1.216,-1.308,-0.092,2.524,0.998,-0.936,0.062,1.934,-0.001,-0.005,-0.006,0.004,0.001,-0.003,-0.002,0.004
1.236,-1.216,0.02,2.452,1.008,-0.949,0.059,1.957,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006,0.816,-0.76,0.056,1.576,0.852,-0.778,0.074,1.63
0.702,-0.67,0.032,1.372,0.828,-0.712,0.116,1.54,1.122,-1.012,0.11,2.134,1.382,-1.304,0.078,2.686,1.226,-1.141,0.085,2.367,0.968,-0.939,0.029,1.907
1.124,-1.048,0.076,2.172,1.327,-1.405,-0.078,2.732,1.188,-1.226,-0.038,2.414,0.986,-1.006,-0.02,1.992,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
